Date,Open,High,Low,Close,Adj Close,Volume
2014-07-25,588.783508,590.877747,568.439331,570.034973,570.034973,6388391
2014-08-01,568.838257,574.383057,558.466736,561.817505,561.817505,7379103
2014-08-08,562.016968,576.317749,558.815796,573.076599,573.076599,6676280
2014-08-15,576.277832,585.731873,568.957947,581.772766,581.772766,5733499
2014-08-22,581.992126,583.633606,565.547302,567.641541,567.641541,6786481
2014-08-29,569.765686,584.395569,565.516357,580.386536,580.386536,5335509
2014-09-05,582.381104,590.149719,574.682190,579.758301,579.758301,6549030
2014-09-12,579.409241,587.925842,566.654236,587.656616,587.656616,7817002
2014-09-19,589.880493,594.846863,572.607910,573.485474,573.485474,10551691
2014-09-26,574.482788,578.262390,561.777649,568.519104,568.519104,6971689
2014-10-03,571.481018,579.409241,555.963623,559.344299,559.344299,8783349
2014-10-10,556.192993,563.582703,513.589966,523.073914,523.073914,15314130
2014-10-17,525.806396,545.721741,506.708832,542.490601,542.490601,15751327
2014-10-24,542.869568,552.672607,534.322998,548.803284,548.803284,7655661
2014-10-31,557.818481,558.037903,539.488831,540.555908,540.555908,8027078
2014-11-07,544.714478,550.428772,537.195129,543.886780,543.886780,6202984
2014-11-14,545.183228,545.183228,528.628662,533.365662,533.365662,7933824
2014-11-21,540.127075,542.490601,534.153503,538.890503,538.890503,7243533
2014-11-28,539.139771,540.515991,527.142700,535.838867,535.838867,7460527
2014-12-05,529.546143,534.861511,519.074890,526.893433,526.893433,10089425
2014-12-12,522.076660,527.052979,487.661133,509.700623,509.700623,14582125
2014-12-19,510.109497,533.096375,505.523071,527.322266,527.322266,9317512
2014-12-26,527.322266,534.013855,524.360352,524.958740,524.958740,5563633
2015-01-02,527.561584,529.815369,489.655640,501.303680,501.303680,11825979
2015-01-09,503.377991,504.295471,486.225067,500.416107,500.416107,11720189
2015-01-16,498.640991,534.861511,498.631012,532.926819,532.926819,9475945
2015-01-23,534.123535,540.685547,499.827728,509.261810,509.261810,11599659
2015-01-30,514.447571,538.391846,514.108521,526.135498,526.135498,14008255
2015-02-06,526.195313,543.328308,524.579773,541.443481,541.443481,7779199
